sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM475656,brioche,6.21880511605253,4.18204453503369,7.21844410107308,8.56634646373267,6.61527402623767,6.96970658258928,6.70734478347531,7.89136000518494,6.5408032204027,5.65377008099249,5.22851833661244,6.07688022797453
GSM475657,non-tumor,6.70629975013433,4.42132971261123,7.8669044234884,9.31042253111293,7.59419775795738,6.13886200435262,6.30412803764177,6.39717440398577,6.97056416157204,5.50822861838081,4.78154327876022,5.96435609819311
GSM475658,non-tumor,6.26341058855129,4.30813481513887,8.02023780612673,8.82950626703934,7.88486216997779,5.34404187538907,8.24420531104322,7.75580078245989,7.22114103819831,5.27461324650774,5.21382896529757,5.86609739678691
GSM475659,non-tumor,6.35431860709186,4.14276872470666,7.99263052400018,9.26285869892865,7.74540756979853,5.49901780451108,6.90123677640602,6.71106096686376,6.98887522508012,5.62954495739974,5.21344508516772,5.5735243065997
GSM475660,non-tumor,6.41558831938249,4.56145034057591,7.94016433953431,8.59080937000194,7.68522261207229,6.44164804711019,6.74915923511304,7.89086996973909,6.44560661234137,5.10244951356763,5.20881078395199,5.7604857977294
GSM475661,brioche,4.66418722978137,4.45937007001659,8.60800484657353,7.89067037785782,5.77180433983486,6.22003344346353,7.47858337851312,5.88592674652703,5.63213590076464,4.95650084596311,6.01723152702764,5.28683231555655
GSM475662,brioche,5.77806952735284,4.26358811120903,7.82677791717376,7.59365694205127,6.31372211218832,6.30194501771423,8.54259715203372,6.28746767239699,6.37137925340364,5.81973368902612,5.52085884002795,5.59520150726849
GSM475663,non-tumor,6.69742228395897,4.29142785902062,8.11993046986914,8.8916113837447,7.32343678405736,5.48468538500831,7.53692654611485,6.9715544157001,6.78594259462382,5.46347060705537,4.95024059120636,5.92236250587838
GSM475664,brioche,5.5766540867721,4.89811851031257,6.72537779122507,7.77388111266556,6.41622876133219,6.39595549785849,6.7179145580173,6.62980669822548,5.9184884837898,4.71364913322136,5.6619734036351,5.76129946597222
GSM475665,non-tumor,6.61152961424598,4.28743080662329,7.40115596619059,9.42503130080082,7.41503642152754,5.95319866941895,6.69210144529891,8.20158623651293,6.79061987730849,5.2901575880804,4.86406715534898,5.77037053292964
GSM475666,non-tumor,6.30721354285785,4.50355011984448,7.01981464310978,7.75489183740524,7.18784565468736,6.7713042158285,6.80336639268059,7.68899081816855,6.38439144369126,5.20282706817235,6.03435328583709,5.42573863457762
GSM475667,non-tumor,6.88605262337044,4.57626772150886,8.11794200970428,8.68700944942792,7.47675636590763,5.50457833039265,7.29437028275411,6.86663247962019,6.92169935940613,5.18588648456707,4.89502489524781,5.60856705272219
