sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM813411,tumor,7.71476576,7.226709076,8.015686519,8.717359432,9.734276661,6.895287058,7.6627478205,7.189661058,8.337109186,8.502708377,7.776159439,8.556504448
GSM813412,tumor,7.562038402,8.000888445,9.877368031,8.9715016925,10.01981529,6.871948987,7.752722891,7.359763566,8.3487170655,8.174138576,8.146886555,8.383122609
GSM813413,tumor,7.4645993995,7.107206279,7.838269121,8.1140604885,9.883472292,6.970621374,7.284820882,7.697798624,8.482635087,9.63446816,7.988961111,9.604706743
GSM813414,tumor,8.0191131095,7.750602513,8.205505596,8.0982551685,10.19900226,7.020247941,6.9820802155,7.563111699,8.8979354235,9.155676824,7.992743125,9.982465497
GSM813415,tumor,7.3955938565,7.172521761,8.706576563,8.23162112,9.789583769,7.080877945,7.964928499,7.409408816,8.2534118785,9.212437298,8.607969939,9.409669764
GSM813416,tumor,7.184805236,7.401007116,9.320105686,7.546650503,8.379995345,7.085661601,7.223400126,7.177282373,8.0519728695,7.908996475,8.150347092,8.392254599
GSM813417,tumor,7.428260899,7.00931157,8.455540324,8.9116957825,9.793815309,6.935990907,7.9281892005,7.028538784,8.351976304,9.054040531,8.386284128,8.994926709
GSM813418,tumor,7.3451333315,7.807141513,9.273622801,8.483192182,8.122924414,7.136099103,7.5124562215,7.324803049,8.2727425995,7.766419518,8.055768881,7.98268071
GSM813419,tumor,7.6922870305,7.176242968,10.71486319,8.7425041505,9.392853065,6.946385358,7.239426024,7.213967733,7.9913078925,8.069714037,8.094790142,8.570380163
GSM813420,tumor,7.230413932,7.037458641,8.497054594,9.083542624,8.675695445,7.029229648,7.672172886,6.992118951,8.3260999935,9.823733791,8.920302293,8.456294791
GSM813421,tumor,7.9793311345,8.004652821,8.770686664,9.449154681,9.661187695,6.989236096,7.370778456,7.926164516,8.401768161,7.554139241,7.311061851,8.314577019
GSM813422,tumor,7.4775203215,7.648318775,8.877049812,8.092523612,10.42048831,7.094564562,7.33549445,8.627415775,8.6944872505,7.785354811,7.724093819,8.626007286
GSM813423,tumor,7.4673138675,7.171991404,9.080694542,8.9590615065,10.04544739,6.979851412,7.6339717345,7.1112082,8.144258877,9.161039188,8.248163863,8.710543697
GSM813424,tumor,7.319483155,8.182909104,9.248996282,8.4018119015,9.212380525,6.92599055,7.4699290365,7.313941591,8.1927355945,8.451419866,8.527747064,8.705592949
GSM813425,tumor,7.2576447095,7.194898381,9.577245621,8.980378967,9.956204248,7.133290302,8.1785412665,7.725520938,8.562010854,9.678526188,8.172942656,9.005709228
GSM813426,tumor,7.4945722895,7.480092011,8.51060774,8.2317798715,9.347334624,7.286959704,7.6487297465,7.776759484,8.065661803,8.225373792,7.993916277,8.294451806
GSM813427,tumor,7.859690691,7.241805568,10.00988975,8.5274247175,10.06552929,6.922962647,6.903324476,8.263454413,7.9065148275,7.533558214,8.333876531,9.148109616
GSM813428,tumor,7.5786200085,7.846289553,9.15433011,8.7190543505,10.22508037,6.950469473,7.348595264,7.766888089,8.9878950945,8.665165745,7.362338738,8.139345063
GSM813429,tumor,7.5964660595,7.25457308,8.123420918,8.913332386,9.561124053,6.948037857,7.206025469,7.331175375,8.600446354,8.724509968,7.83575158,8.865568902
GSM813430,tumor,7.573721901,7.432905373,8.903927851,7.9785130315,8.421208686,7.203150753,7.4219336945,7.126101707,8.13155132,9.460056842,8.480051015,8.582314497
GSM813431,tumor,7.4619324855,7.184916069,9.03875939,8.992015049,9.325967003,6.959565854,7.6192999845,7.37130579,8.190950589,8.756210686,7.752159615,8.560046338
GSM813432,tumor,7.7086434185,7.36447521,10.49230404,8.127989826,10.9045047,6.932059251,7.4027229855,7.904839487,8.0338206775,8.510352,7.633393222,8.840452765
