symbol1,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
ARNTL,NA,0.748605762499504,0.7095003020899308,0.2710740805224267,-0.6202985805802091,-0.6138437385267186,-0.8584078300611022,-0.757488297648831,-0.5643933611197335,-0.8213046309131692,-0.9105497134032847,-0.8378611751724021
NPAS2,0.748605762499504,NA,0.5927159274092657,0.0653934979369551,-0.5840976645448491,-0.34543598719018254,-0.7314420257299542,-0.6404864766877999,-0.684458087262147,-0.7657991544858019,-0.7398151385065587,-0.7752990711465588
CLOCK,0.7095003020899308,0.5927159274092657,NA,0.09176637006870582,-0.5636221853322873,-0.3170087139805505,-0.5927613174354011,-0.6434690428716424,-0.4997367712789282,-0.6619827636110062,-0.6176065187012294,-0.7365068982636236
CRY1,0.2710740805224267,0.0653934979369551,0.09176637006870582,NA,0.0010515326956368912,-0.700006541501364,-0.3872701881567575,-0.1208832978515682,0.2570132729433566,-0.03986066155492686,-0.335355663875976,-0.07317809189569845
CRY2,-0.6202985805802091,-0.5840976645448491,-0.5636221853322873,0.0010515326956368912,NA,0.28081433510765796,0.6075465778958296,0.6633205433948538,0.5774959234639914,0.6480130552427099,0.6382988649235003,0.7477015852641621
NR1D1,-0.6138437385267186,-0.34543598719018254,-0.3170087139805505,-0.700006541501364,0.28081433510765796,NA,0.6661337549806735,0.40700436115708966,-0.08189811818256569,0.3580216164508843,0.710109745497455,0.38222771773581304
NR1D2,-0.8584078300611022,-0.7314420257299542,-0.5927613174354011,-0.3872701881567575,0.6075465778958296,0.6661337549806735,NA,0.7134303578009206,0.5225981622667957,0.7757154253322541,0.9071559787669702,0.7396921281298114
PER1,-0.757488297648831,-0.6404864766877999,-0.6434690428716424,-0.1208832978515682,0.6633205433948538,0.40700436115708966,0.7134303578009206,NA,0.6004586168506314,0.7654586715228033,0.7747858102950126,0.7866160592129606
PER2,-0.5643933611197335,-0.684458087262147,-0.4997367712789282,0.2570132729433566,0.5774959234639914,-0.08189811818256569,0.5225981622667957,0.6004586168506314,NA,0.7631384030575645,0.5238981201825786,0.7314504534544193
PER3,-0.8213046309131692,-0.7657991544858019,-0.6619827636110062,-0.03986066155492686,0.6480130552427099,0.3580216164508843,0.7757154253322541,0.7654586715228033,0.7631384030575645,NA,0.8099729239939597,0.8600669000842733
DBP,-0.9105497134032847,-0.7398151385065587,-0.6176065187012294,-0.335355663875976,0.6382988649235003,0.710109745497455,0.9071559787669702,0.7747858102950126,0.5238981201825786,0.8099729239939597,NA,0.8308073358926321
TEF,-0.8378611751724021,-0.7752990711465588,-0.7365068982636236,-0.07317809189569845,0.7477015852641621,0.38222771773581304,0.7396921281298114,0.7866160592129606,0.7314504534544193,0.8600669000842733,0.8308073358926321,NA
