symbol1,symbol2,rhoMeta
Arntl,Clock,0.7249285525930265
Arntl,Cry1,0.27817941734825
Arntl,Cry2,-0.6363768091152799
Arntl,Dbp,-0.9146446580320629
Arntl,Npas2,0.7754709004193397
Arntl,Nr1d1,-0.6037514051847261
Arntl,Nr1d2,-0.8614805872675428
Arntl,Per1,-0.7471112270277356
Arntl,Per2,-0.5945528630679193
Arntl,Per3,-0.823418212544465
Arntl,Tef,-0.8473980357473699
Clock,Arntl,0.7249285525930265
Clock,Cry1,0.06541973887685623
Clock,Cry2,-0.5972756017941481
Clock,Dbp,-0.645511131925004
Clock,Npas2,0.6343961275585874
Clock,Nr1d1,-0.3002463589006351
Clock,Nr1d2,-0.6031794883488697
Clock,Per1,-0.6364952995268504
Clock,Per2,-0.5695840536120815
Clock,Per3,-0.7144611850829129
Clock,Tef,-0.7595101095772043
Cry1,Arntl,0.27817941734825
Cry1,Clock,0.06541973887685623
Cry1,Cry2,-0.012457650804017978
Cry1,Dbp,-0.3401804672897463
Cry1,Npas2,0.07402796765934631
Cry1,Nr1d1,-0.7225359580320011
Cry1,Nr1d2,-0.40990436181618845
Cry1,Per1,-0.1411755648029434
Cry1,Per2,0.25538495810553313
Cry1,Per3,-0.02528160413657544
Cry1,Tef,-0.07811010288865948
Cry2,Arntl,-0.6363768091152799
Cry2,Clock,-0.5972756017941481
Cry2,Cry1,-0.012457650804017978
Cry2,Dbp,0.6618797053386846
Cry2,Npas2,-0.6263229987696222
Cry2,Nr1d1,0.28367323665722516
Cry2,Nr1d2,0.6234166103745656
Cry2,Per1,0.6454257049601584
Cry2,Per2,0.5951065281741664
Cry2,Per3,0.6712805988777188
Cry2,Tef,0.7597038128475304
Dbp,Arntl,-0.9146446580320629
Dbp,Clock,-0.645511131925004
Dbp,Cry1,-0.3401804672897463
Dbp,Cry2,0.6618797053386846
Dbp,Npas2,-0.7654845391069139
Dbp,Nr1d1,0.6955807306126488
Dbp,Nr1d2,0.9111477553295785
Dbp,Per1,0.7732704055570547
Dbp,Per2,0.5543211162081426
Dbp,Per3,0.8117621483013249
Dbp,Tef,0.8443479194909007
Npas2,Arntl,0.7754709004193397
Npas2,Clock,0.6343961275585874
Npas2,Cry1,0.07402796765934631
Npas2,Cry2,-0.6263229987696222
Npas2,Dbp,-0.7654845391069139
Npas2,Nr1d1,-0.3498755031422754
Npas2,Nr1d2,-0.7461844309036201
Npas2,Per1,-0.6450779504073073
Npas2,Per2,-0.7086572507645479
Npas2,Per3,-0.7845410222647868
Npas2,Tef,-0.7983426906678266
Nr1d1,Arntl,-0.6037514051847261
Nr1d1,Clock,-0.3002463589006351
Nr1d1,Cry1,-0.7225359580320011
Nr1d1,Cry2,0.28367323665722516
Nr1d1,Dbp,0.6955807306126488
Nr1d1,Npas2,-0.3498755031422754
Nr1d1,Nr1d2,0.6772738906964219
Nr1d1,Per1,0.42422234261510466
Nr1d1,Per2,-0.06776682386516979
Nr1d1,Per3,0.336626676466772
Nr1d1,Tef,0.3810190556260799
Nr1d2,Arntl,-0.8614805872675428
Nr1d2,Clock,-0.6031794883488697
Nr1d2,Cry1,-0.40990436181618845
Nr1d2,Cry2,0.6234166103745656
Nr1d2,Dbp,0.9111477553295785
Nr1d2,Npas2,-0.7461844309036201
Nr1d2,Nr1d1,0.6772738906964219
Nr1d2,Per1,0.7132144125724547
Nr1d2,Per2,0.5292359564951081
Nr1d2,Per3,0.7673822369494325
Nr1d2,Tef,0.7487607429844136
Per1,Arntl,-0.7471112270277356
Per1,Clock,-0.6364952995268504
Per1,Cry1,-0.1411755648029434
Per1,Cry2,0.6454257049601584
Per1,Dbp,0.7732704055570547
Per1,Npas2,-0.6450779504073073
Per1,Nr1d1,0.42422234261510466
Per1,Nr1d2,0.7132144125724547
Per1,Per2,0.6079440950872126
Per1,Per3,0.7467578670868107
Per1,Tef,0.7756198279902018
Per2,Arntl,-0.5945528630679193
Per2,Clock,-0.5695840536120815
Per2,Cry1,0.25538495810553313
Per2,Cry2,0.5951065281741664
Per2,Dbp,0.5543211162081426
Per2,Npas2,-0.7086572507645479
Per2,Nr1d1,-0.06776682386516979
Per2,Nr1d2,0.5292359564951081
Per2,Per1,0.6079440950872126
Per2,Per3,0.7868301863101547
Per2,Tef,0.7530873999396855
Per3,Arntl,-0.823418212544465
Per3,Clock,-0.7144611850829129
Per3,Cry1,-0.02528160413657544
Per3,Cry2,0.6712805988777188
Per3,Dbp,0.8117621483013249
Per3,Npas2,-0.7845410222647868
Per3,Nr1d1,0.336626676466772
Per3,Nr1d2,0.7673822369494325
Per3,Per1,0.7467578670868107
Per3,Per2,0.7868301863101547
Per3,Tef,0.8738338205271359
Tef,Arntl,-0.8473980357473699
Tef,Clock,-0.7595101095772043
Tef,Cry1,-0.07811010288865948
Tef,Cry2,0.7597038128475304
Tef,Dbp,0.8443479194909007
Tef,Npas2,-0.7983426906678266
Tef,Nr1d1,0.3810190556260799
Tef,Nr1d2,0.7487607429844136
Tef,Per1,0.7756198279902018
Tef,Per2,0.7530873999396855
Tef,Per3,0.8738338205271359
